RegionName,City,Metro,CountyName,Year,GrowthRate
60202,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2019,-4.521770482
2114,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,2020,-4.474965109
94610,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,2021,-4.467205816
72204,Little Rock,"Little Rock-North Little Rock-Conway, AR",Pulaski County,2020,-4.457814534
30189,Woodstock,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,2017,-4.425369867
85044,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2016,-4.410318716
90015,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2020,-4.407677524
55415,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,2020,-4.406665568
91411,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2019,-4.394687905
10075,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-4.394100183
94804,Richmond,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2019,-4.355743574
52302,Marion,"Cedar Rapids, IA",Linn County,2022,-4.337609062
33610,East Lake-Orient Park,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,2017,-4.314305804
10026,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-4.296348956
70605,Lake Charles,"Lake Charles, LA",Calcasieu Parish,2020,-4.290470806
78660,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,2016,-4.194411551
78701,Austin,"Austin-Round Rock-Georgetown, TX",Travis County,2020,-4.190440392
10065,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-4.184904904
91104,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2021,-4.169041595
28110,Monroe,"Charlotte-Concord-Gastonia, NC-SC",Union County,2020,-4.166221499
10024,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-4.149002324
10014,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-4.143434354
31404,Savannah,"Savannah, GA",Chatham County,2018,-4.123458879
94117,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-4.120697574
60654,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2020,-4.106147072
94043,Mountain View,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-4.10115114
65802,Springfield,"Springfield, MO",Greene County,2016,-4.031953378
76001,Arlington,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2018,-4.012680489
94549,Lafayette,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2021,-4.005011468
94123,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-3.986765255
46123,Avon,"Indianapolis-Carmel-Anderson, IN",Hendricks County,2020,-3.973900196
80601,Brighton,"Denver-Aurora-Lakewood, CO",Adams County,2019,-3.969586911
98837,Moses Lake,"Moses Lake, WA",Grant County,2018,-3.928534172
10029,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-3.917166519
94401,San Mateo,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2021,-3.915712587
94086,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2021,-3.905765993
94066,San Bruno,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2021,-3.904690085
48071,Madison Heights,"Detroit-Warren-Dearborn, MI",Oakland County,2020,-3.901774112
10007,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-3.844600287
95134,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-3.834384474
70124,New Orleans,"New Orleans-Metairie, LA",Orleans Parish,2021,-3.834016821
95051,Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2021,-3.787182751
92078,San Marcos,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2017,-3.777103303
28204,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2020,-3.769621689
90806,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2020,-3.76098139
34744,Kissimmee,"Orlando-Kissimmee-Sanford, FL",Osceola County,2016,-3.709817879
94114,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-3.703819458
94110,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-3.692815798
60601,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2020,-3.679982966
94301,Palo Alto,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-3.671554095
