RegionName,City,Metro,CountyName,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021,GrowthRate2022
16602,Altoona,"Altoona, PA",Blair County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37803,Maryville,"Knoxville, TN",Blount County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37804,Maryville,"Knoxville, TN",Blount County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37801,Maryville,"Knoxville, TN",Blount County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37777,Louisville,"Knoxville, TN",Blount County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
56001,Mankato,"Mankato, MN",Blue Earth County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83864,Kootenai,"Sandpoint, ID",Bonner County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83401,Idaho Falls,"Idaho Falls, ID",Bonneville County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.345265584,21.44897815,14.72263955
83402,Idaho Falls,"Idaho Falls, ID",Bonneville County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,33.6195931
83404,Idaho Falls,"Idaho Falls, ID",Bonneville County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83406,Ammon,"Idaho Falls, ID",Bonneville County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
65203,Columbia,"Columbia, MO",Boone County,0.993473798,1.351123502,1.78380255,2.546221131,2.878371268,8.041254195,11.51435001
41042,Florence,"Cincinnati, OH-KY-IN",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,30.28032333
65202,Columbia,"Columbia, MO",Boone County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,540.8865176
65201,Columbia,"Columbia, MO",Boone County,#DIV/0!,53.63296375,3.460097826,3.175378585,4.428108054,7.59415053,13.76199151
